S. No.,State/UT,2005 - Sub Centre,2005 - PHCs,2005 - CHCs,2019 - Sub Centre + HWC-SCs,2019 - PHCs + HWC-PHCs,2019 - CHCs
1,Andhra Pradesh,12522,1570,164,7437,1145,140
2,Arunachal Pradesh,379,85,31,385,143,63
3,Assam,5109,610,100,4643,946,177
4,Bihar,10337,1648,101,9949,1899,150
5,Chhattisgarh,3818,517,116,5205,792,170
6,Goa,172,19,5,219,24,5
7,Gujarat,7274,1070,272,9166,1476,362
8,Haryana,2433,408,72,2604,379,115
9,Himachal Pradesh,2068,439,66,2089,586,87
10,Jammu & Kashmir,1879,334,70,3025,622,84
11,Jharkhand,4462,561,47,3848,298,171
12,Karnataka,8143,1681,254,9758,2127,198
13,Kerala,5094,911,106,5380,848,227
14,Madhya Pradesh,8874,1192,229,10226,1199,309
15,Maharashtra,10453,1780,382,10668,1828,364
16,Manipur,420,72,16,490,90,23
17,Meghalaya,401,101,24,477,118,28
18,Mizoram,366,57,9,370,59,9
19,Nagaland,394,87,21,433,126,21
20,Odisha,5927,1282,231,6688,1288,377
21,Punjab,2858,484,116,2950,416,89
22,Rajasthan,10512,1713,326,13512,2082,571
23,Sikkim,147,24,4,176,29,2
24,Tamil Nadu,8682,1380,35,8713,1422,385
25,Telangana,NA,NA,NA,4744,636,85
26,Tripura,539,73,10,972,108,18
27,Uttarakhand,1576,225,44,1847,257,67
28,Uttar Pradesh,20521,3660,386,20782,2936,679
29,West Bengal,10356,1173,95,10357,908,348
30,A& N Islands,107,20,4,124,22,4
31,Chandigarh,13,0,1,0,0,0
32,Dadra & Nagar Haveli,38,6,1,71,9,2
33,Daman & Diu,21,3,1,23,4,0
34,Delhi,41,8,0,12,5,0
35,Lakshadweep,14,4,3,14,4,3
36,Puducherry,76,39,4,54,24,2
All India/Total,All India/Total,146026,23236,3346,157411,24855,5335
