S.No.,State/UT,Number of PHCs Functioning,Number of Primary Health Centres - Without Electric Supply - Number,Number of Primary Health Centres - Without Electric Supply - %,Number of Primary Health Centres - Without Regular Water Supply - Number,Number of Primary Health Centres - Without Regular Water Supply - %,Number of Primary Health Centres - Without All-Weather Motorable Approach Road - Number,Number of Primary Health Centres - Without All-Weather Motorable Approach Road - %,Number of Primary Health Centres - With Telephone - Number,Number of Primary Health Centres - With Telephone - %,Number of Primary Health Centres - With Computer - Number,Number of Primary Health Centres - With Computer - %
1,Andhra Pradesh,0,0,NA,0,NA,0,NA,0,NA,0,NA
2,Arunachal Pradesh,101,13,12.9,18,17.8,26,25.7,18,17.8,24,23.8
3,Assam,698,47,6.7,8,1.1,74,10.6,296,42.4,625,89.5
4,Bihar,1480,0,0,0,0,0,0,533,36,783,52.9
5,Chhattisgarh,657,26,4,52,7.9,33,5,189,28.8,616,93.8
6,Goa,0,0,NA,0,NA,0,NA,0,NA,0,NA
7,Gujarat,704,0,0,0,0,0,0,704,100,704,100
8,Haryana,193,4,2.1,4,2.1,13,6.7,164,85,64,33.2
9,Himachal Pradesh,566,8,1.4,32,5.7,54,9.5,117,20.7,181,32
10,Jammu & Kashmir,526,98,18.6,125,23.8,103,19.6,60,11.4,400,76
11,Jharkhand,203,112,55.2,133,65.5,30,14.8,77,37.9,96,47.3
12,Karnataka,1995,28,1.4,67,3.4,151,7.6,1981,99.3,1830,91.7
13,Kerala,678,0,0,0,0,58,8.6,678,100,678,100
14,Madhya Pradesh,1039,0,0,133,12.8,91,8.8,1039,100,776,74.7
15,Maharashtra,1349,13,1,33,2.4,69,5.1,637,47.2,660,48.9
16,Manipur,85,7,8.2,35,41.2,6,7.1,23,27.1,45,52.9
17,Meghalaya,110,3,2.7,23,20.9,13,11.8,12,10.9,107,97.3
18,Mizoram,57,2,3.5,7,12.3,1,1.8,30,52.6,57,100
19,Nagaland,124,14,11.3,64,51.6,23,18.5,11,8.9,40,32.3
20,Odisha,461,58,12.6,68,14.8,4,0.9,151,32.8,461,100
21,Punjab,79,0,0,0,0,0,0,79,100,79,100
22,Rajasthan,1777,77,4.3,208,11.7,53,3,873,49.1,1777,100
23,Sikkim,24,0,0,0,0,0,0,13,54.2,24,100
24,Tamil Nadu,706,0,0,0,0,0,0,706,100,706,100
25,Telangana,0,0,NA,0,NA,0,NA,0,NA,0,NA
26,Tripura,82,0,0,0,0,0,0,70,85.4,82,100
27,Uttarakhand,243,35,14.4,57,23.5,51,21,38,15.6,74,30.5
28,Uttar Pradesh,1990,213,10.7,270,13.6,459,23.1,820,41.2,1696,85.2
29,West Bengal,640,37,5.8,21,3.3,43,6.7,117,18.3,79,12.3
30,A& N Islands,22,0,0,0,0,0,0,22,100,21,95.5
31,Chandigarh,0,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App
32,D & N Haveli,6,0,0,0,0,0,0,4,66.7,6,100
33,Daman & Diu,0,0,NA,0,NA,0,NA,0,NA,0,NA
34,Delhi,5,0,0,0,0,0,0,1,20,0,0
35,Lakshadweep,4,0,0,0,0,0,0,4,100,4,100
36,Puducherry,9,0,0,0,0,0,0,9,100,9,100
All India/Total,All India/Total,16613,795,4.8,1358,8.2,1355,8.2,9476,57,12704,76.5
